Milestone,Start,Unit,75th,Unit,Final,Unit
Equal Movements,0,m,0,m,0,m
Lift Head,0,m,0,m,0,m
Head Up 45,0,m,2,m,3,m
Head Up 90,1.5,m,3,m,4,m
sit-head steady,2,m,3,m,4,m
bear weight on legs,2,m,3.5,m,4.5,m
chest up-arm,3,m,4,m,5,m
roll over,2.5,m,4.5,m,6.5,m
"pull to sit, no head lag",3,m,4,m,6,m
sit no support,5.5,m,6.5,m,7,m
stand holding on,6.5,m,8,m,8.5,m
pull to stand,8,m,9,m,10,m
get to sitting,7.5,m,9,m,10,m
stand 2 sec,9.5,m,10.5,m,11.5,m
stand alone,10,m,12,m,13.5,m
stoop and recover,11,m,13,m,15,m
walk well,11,m,13.5,m,15,m
walk backwards,12.5,m,15,m,17,m
runs,14,m,18,m,20,m
walk up steps,14,m,19,m,21.5,m
kick ball forward,16,m,21,m,23.5,m
jump up,21,m,2.25,y,2.5,y
throw ball overhand,17,m,24,m,3,y
broad jump,2.25,y,3,y,3.35,y
balance each foot  1 second,2.5,y,2.75,y,3.5,y
balance each foot 2 seconds,,,,,,
hops,,,,,,
balance each foot 3 seconds,,,,,,
balance each foot 4 seconds,,,,,,
balance each foot 5 seconds,,,,,,
heel to toe walk,,,,,,
balance each foot 6 seconds,,,,,,
